LGA_code,LGA_name,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total females
25150,Moorabool (S),1123,1187,1312,1035,995,987,1137,1264,1222,1323,1197,1253,1094,969,798,583,292,377,18148
25250,Moreland (C),5570,4881,4128,3553,6916,10531,10968,8822,6552,5777,5133,4728,4132,3271,2804,2333,2513,2895,95507
25340,Mornington Peninsula (S),4075,4780,5190,4719,3887,3629,4136,4721,4946,5985,5902,5819,6017,6034,6023,4485,3168,3253,86769
25430,Mount Alexander (S),390,516,524,460,342,327,402,517,576,717,731,817,829,912,689,512,330,345,9936
25490,Moyne (S),489,546,644,552,389,382,373,479,475,552,582,631,646,566,468,291,206,209,8480
25620,Murrindindi (S),318,360,418,352,339,304,381,393,385,494,521,588,628,561,511,269,202,167,7191
25710,Nillumbik (S),1676,2094,2426,2295,2110,1604,1465,1931,2216,2696,2605,2471,2216,1821,1399,877,455,485,32842
25810,Northern Grampians (S),295,278,276,308,227,292,306,278,264,365,404,481,454,440,406,279,219,245,5817
25900,Port Phillip (C),2643,2130,1896,1634,3467,7430,7911,5958,4271,4185,3627,3476,2934,2357,2028,1321,955,985,59208
25990,Pyrenees (S),143,213,182,200,156,117,160,184,177,218,257,271,302,303,245,173,91,71,3463
26080,Queenscliffe (B),52,56,42,55,58,14,14,53,53,87,88,127,139,169,167,131,117,121,1543
26170,South Gippsland (S),697,885,1017,890,560,595,746,809,809,984,1021,1185,1222,1160,1068,686,467,495,15296
26260,Southern Grampians (S),439,449,457,492,378,330,360,431,399,530,577,608,603,604,506,385,272,375,8195
26350,Stonnington (C),2185,2131,2359,2544,5188,8534,7250,4879,3264,3607,3349,3117,2888,2719,2512,1870,1485,1706,61587
26430,Strathbogie (S),243,252,305,235,212,266,246,279,278,299,344,461,518,479,419,283,182,192,5493
26490,Surf Coast (S),1019,1195,1182,972,673,614,1058,1316,1291,1300,1156,1139,1222,1038,900,588,362,387,17412
26610,Swan Hill (RC),698,671,608,571,529,640,644,561,581,550,634,662,640,578,497,382,274,366,10086
26670,Towong (S),141,173,167,167,96,80,96,146,143,163,221,251,231,244,205,161,89,111,2885
26700,Wangaratta (RC),826,845,942,945,691,645,716,795,864,983,975,1052,1078,965,873,690,447,636,14968
26730,Warrnambool (C),942,1011,1103,1031,1063,1179,1146,1085,1020,1160,1169,1216,1224,1039,896,662,518,683,18147
26810,Wellington (S),1169,1309,1330,1225,1054,1065,1170,1317,1133,1376,1459,1643,1704,1524,1281,839,604,530,21732
26890,West Wimmera (S),113,99,119,117,76,60,87,86,84,126,129,148,138,117,121,96,78,66,1860
26980,Whitehorse (C),4121,5062,4992,5298,7403,7088,6692,6364,5824,6228,5768,5216,4857,4220,3689,3153,2709,3400,92084
27070,Whittlesea (C),8639,8574,7236,6298,7538,9250,10842,10457,7917,7597,6675,6553,5767,4862,3992,2627,2025,1767,118616
27170,Wodonga (C),1490,1548,1451,1289,1293,1476,1591,1469,1191,1375,1307,1309,1264,1137,916,645,462,495,21708
27260,Wyndham (C),12712,12776,9833,7507,7688,10554,15030,14984,10169,8349,6906,6363,5578,4250,3226,2008,1255,1149,140337
27350,Yarra (C),2175,1736,1477,1516,3958,8598,7962,4807,3278,2735,2742,2412,2365,1894,1653,1147,784,831,52070
27450,Yarra Ranges (S),4694,4932,4885,4852,4682,4716,5486,5407,5114,5793,5569,5388,4977,4378,3762,2513,1630,1789,80567
27630,Yarriambiack (S),142,160,214,160,92,104,148,142,170,163,228,263,281,236,216,205,103,140,3167
29399,Unincorporated Vic,7,12,34,22,18,72,38,45,20,38,14,10,9,13,8,10,10,7,387
