LGA_code,LGA_name,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total females
25150,Moorabool (S),1103,1356,1286,1092,1154,952,1083,1189,1172,1223,1203,1226,977,994,862,515,283,195,17865
25250,Moreland (C),5940,5011,4267,3880,7150,10492,11212,9326,6792,5630,4867,4388,3768,2840,2411,1889,1617,1775,93255
25340,Mornington Peninsula (S),4219,5100,5394,4972,4744,4095,3853,3925,4542,5571,5267,5368,5335,5223,5291,4037,2713,2444,82093
25430,Mount Alexander (S),452,520,560,537,424,411,523,507,606,669,777,734,833,858,689,462,256,247,10065
25490,Moyne (S),462,578,666,544,412,400,419,451,433,611,573,639,595,635,512,276,194,147,8547
25620,Murrindindi (S),349,386,459,362,355,370,304,397,403,479,514,552,681,603,531,403,188,134,7470
25710,Nillumbik (S),1692,2149,2510,2455,2368,1769,1422,1721,2005,2469,2414,2403,2172,1715,1439,885,497,292,32377
25810,Northern Grampians (S),292,281,342,337,265,257,275,247,296,308,381,428,460,421,410,292,170,124,5586
25900,Port Phillip (C),2655,2169,1993,1816,3155,6536,7729,6044,4233,3894,3516,3331,2933,2409,2100,1314,759,682,57268
25990,Pyrenees (S),176,211,236,209,152,98,146,189,236,289,307,303,378,409,332,208,118,95,4092
26080,Queenscliffe (B),52,57,71,76,77,56,51,55,46,61,86,89,118,156,152,120,77,65,1465
26170,South Gippsland (S),834,1004,996,830,748,605,637,695,744,929,1002,1155,1115,1160,1018,694,475,311,14952
26260,Southern Grampians (S),448,503,515,533,423,419,368,380,394,502,496,548,584,590,523,317,187,209,7939
26350,Stonnington (C),2383,2234,2374,2461,4597,7273,7387,4956,3433,3227,3076,2933,2559,2263,2186,1569,1093,1023,57027
26430,Strathbogie (S),260,322,286,264,268,210,246,245,252,275,337,408,461,542,461,278,211,173,5499
26490,Surf Coast (S),1139,1318,1251,1085,915,669,954,1097,1253,1266,1062,1121,1123,1111,891,573,295,236,17359
26610,Swan Hill (RC),707,707,616,624,659,686,678,604,582,584,596,725,696,661,501,358,248,216,10448
26670,Towong (S),160,161,193,216,147,130,120,119,149,175,210,267,288,272,244,180,109,77,3217
26700,Wangaratta (RC),796,890,997,966,732,663,682,737,768,984,887,961,987,938,880,571,413,377,14229
26730,Warrnambool (C),1057,1126,1135,1093,1211,1482,1161,918,984,1029,1042,1018,1039,960,844,583,370,334,17386
26810,Wellington (S),1289,1343,1474,1293,1328,1394,1323,1454,1352,1406,1393,1593,1617,1578,1388,862,504,447,23038
26890,West Wimmera (S),107,120,105,115,94,54,99,91,69,120,153,166,159,133,135,95,72,63,1950
26980,Whitehorse (C),4533,5252,5187,5489,8580,8274,6641,5950,5519,5716,5179,4620,4293,3532,3195,2532,2016,2143,88651
27070,Whittlesea (C),9169,9243,7656,6756,8185,9284,10512,10514,8528,7421,6451,5882,5041,4223,3690,2439,1660,1269,117923
27170,Wodonga (C),1433,1565,1508,1341,1617,1650,1530,1181,1186,1308,1156,1304,1105,1037,899,530,320,284,20954
27260,Wyndham (C),13733,13304,10424,8205,8774,10300,13385,15770,11734,8778,6893,5900,5025,4023,2995,1860,1078,776,142957
27350,Yarra (C),2340,1761,1582,1477,3562,7710,8100,5439,3620,2846,2575,2472,2180,1683,1547,990,617,554,51055
27450,Yarra Ranges (S),4956,5370,5322,4914,5175,5030,5169,5173,4989,5589,5259,5177,4757,3937,3556,2428,1433,1154,79388
27630,Yarriambiack (S),177,176,235,197,185,150,146,145,146,139,218,289,301,253,242,190,116,116,3421
29399,Unincorporated Vic,11,15,26,16,38,78,62,33,36,20,46,17,18,44,23,15,3,6,507
